,code,probability (%)
210,210,0.0012427331180919574
211,211,0.0009941864944735658
212,212,0.0004970932472367829
213,213,0.0004970932472367829
214,214,0.0009941864944735658
215,215,0.0009941864944735658
216,216,0.0017398263653287402
217,217,0.0009941864944735658
218,218,0.0009941864944735658
219,219,0.0004970932472367829
220,220,0.0009941864944735658
221,221,0.0004970932472367829
222,222,0.0014912797417103488
223,223,0.0004970932472367829
224,224,0.0004970932472367829
225,225,0.00024854662361839145
226,226,0.0007456398708551744
227,227,0.0014912797417103488
228,228,0.0004970932472367829
229,229,0.0014912797417103488
230,230,0.0004970932472367829
231,231,0.0007456398708551744
232,232,0.0007456398708551744
233,233,0.0004970932472367829
234,234,0.0004970932472367829
235,235,0.0004970932472367829
236,236,0.0004970932472367829
237,237,0.0004970932472367829
238,238,0.0012427331180919574
